year,month,day,hour,WS_obs,power_obs,WS_WRF,power_WRF,WS_OML_68,power_OML,WS,WS_2
2012,12,1,0,9.4,3525.01,8.224,2508.97,9.678,4114.19,1.5,1.866959
2012,12,1,1,9.74,4114.19,8.658,2981.39,8.6841,2981.39,1.8,1.391419
2012,12,1,2,10.68,5379.02,8.3665,2508.97,10.135,4727.44,1.8,1.686222
2012,12,1,3,13.01,5563.73,12.635,5563.73,11.654,5563.73,1.6,1.782244
2012,12,1,4,13.76,5563.73,10,4727.44,11.568,5563.73,1.6,1.764342
2012,12,1,5,13.2,5563.73,15,5563.73,10.68,5379.02,2.3,1.729383
2012,12,1,6,13.56,5563.73,15.5498,5563.73,12.568,5563.73,1.8,1.474866
2012,12,1,7,12.72,5563.73,11.987,5563.73,11.985,5563.73,2.3,1.474866
2012,12,1,8,11.39,5563.73,12.546,5563.73,12.55,5563.73,2.1,1.100482
2012,12,1,9,9.4,3525.01,11.956,5563.73,12.963,5563.73,1.3,1.690361
2012,12,1,10,8.74,2981.39,10.984,5379.02,11.963,5563.73,0.5,1.621426
2012,12,1,11,6.647,1361.68,10.562,5379.02,12.527,5563.73,1.7,1.671119
2012,12,1,12,3.994,151.3,10.022,4727.44,8.3697,2508.97,0.9,1.486662
2012,12,1,13,3.309,47.78,8.3241,2508.97,6.5377,1361.68,0.9,1.530605
2012,12,1,14,3.028,47.78,7.1053,1698,6.4965,1072.29,1.4,1.619522
2012,12,1,15,5.755,819.88,7.5352,2079.88,4.7957,430.53,0.7,1.59305
2012,12,1,16,5.502,819.88,7.2461,1698,6.3078,1072.29,1.3,2.036529
2012,12,1,17,7.074,1698,6.7994,1361.68,7.8803,2079.88,2.1,1.949006
2012,12,1,18,7.261,1698,6.5798,1361.68,5.3346,608.73,0.7,1.482263
2012,12,1,19,8.03,2508.97,6.704,1361.68,6.0996,1072.29,3.2,1.840577
2012,12,1,20,9.34,3525.01,5.8251,819.88,6.93,1361.68,1.1,1.562877
2012,12,1,21,9.64,4114.19,6.9374,1361.68,7.5168,2079.88,1.5,1.733556
2012,12,1,22,5.41,608.73,6.1459,1072.29,4.8122,430.53,2.4,1.479778
2012,12,1,23,9.49,3525.01,5.2663,608.73,9.6621,4114.19,1.5,1.602667
2012,12,2,0,7.566,2079.88,4.0655,278.59,9.5396,4114.19,1.1,1.639303
2012,12,2,1,10.02,4727.44,2.3699,0,6.3262,1072.29,0.6,1.542003
2012,12,2,2,10.25,4727.44,0.8717,0,4.2575,278.59,0.9,1.552194
2012,12,2,3,8.56,2981.39,1.9581,0,4.9765,430.53,0.3,1.59611
2012,12,2,4,9.41,3525.01,2.5895,0,3.5982,151.3,0.9,1.55503
2012,12,2,5,11.8,5563.73,2.1157,0,6.3507,1072.29,1.4,1.656344
2012,12,2,6,10.78,5379.02,2.6843,0,6.5954,1361.68,1,1.549536
2012,12,2,7,9.39,3525.01,2.8109,0,6.3618,1072.29,0.8,1.549536
2012,12,2,8,9.31,3525.01,3.5753,151.3,5.8541,819.88,1.7,1.761388
2012,12,2,9,10.73,5379.02,3.6594,151.3,5.62145,819.88,1.5,1.821532
2012,12,2,10,10.22,4727.44,3.62845,151.3,11.7695,5563.73,1.7,1.558905
2012,12,2,11,8.13,2508.97,3.65645,151.3,12.1522,5563.73,1.3,1.811321
2012,12,2,12,9.33,3525.01,3.453,47.78,13.14485,5563.73,1.2,1.635787
2012,12,2,13,7.423,1698,3.02505,47.78,12.3684,5563.73,1.5,1.613604
2012,12,2,14,6.502,1361.68,2.2443,0,10.95775,5379.02,1.1,1.675998
2012,12,2,15,5.603,819.88,2.4585,0,10.01935,4727.44,2,1.764487
2012,12,2,16,6.408,1072.29,2.794,0,8.3754,2508.97,3.7,1.226707
2012,12,2,17,6.203,1072.29,2.13885,0,8.36745,2508.97,3.5,1.462192
2012,12,2,18,5.601,819.88,1.8068,0,6.4812,1072.29,3.2,1.000753
2012,12,2,19,4.384,278.59,2.21875,0,6.7808,1361.68,4.3,1.31354
2012,12,2,20,4.401,278.59,3.1383,47.78,6.4412,1072.29,4.7,1.841416
2012,12,2,21,4.427,278.59,3.83105,151.3,5.73785,819.88,4.1,1.208689
2012,12,2,22,4.398,278.59,4.2933,278.59,4.658,430.53,4.5,1.383023
2012,12,2,23,5.627,819.88,4.73305,430.53,5.17735,608.73,4.3,0.957166
2012,12,3,0,3.859,151.3,3.91335,151.3,3.3925,47.78,5.2,0.748499
2012,12,3,1,1.621,0,3.6888,151.3,3.75375,151.3,4.9,0.984919
2012,12,3,2,1.244,0,4.5113,430.53,4.2369,278.59,4.6,1.209637
2012,12,3,3,0.975,0,5.27175,608.73,4.48485,278.59,5.3,1.154852
2012,12,3,4,0.929,0,6.438,1072.29,3.8003,151.3,5.1,1.568532
2012,12,3,5,0.577,0,7.6863,2079.88,3.5997,151.3,4.2,1.684393
2012,12,3,6,2.204,0,8.27175,2508.97,3.208,47.78,5.4,1.824299
2012,12,3,7,0.722,0,9.2045,3525.01,5.1697,608.73,4.1,1.824299
2012,12,3,8,3.452,47.78,10.3055,4727.44,5.3419,608.73,4.7,1.476624
2012,12,3,9,6.068,1072.29,12.91033333,5563.73,5.5564,819.88,5,1.651384
2012,12,3,10,9.49,3525.01,14.09,5563.73,7.88845,2079.88,4.1,1.795844
2012,12,3,11,11.64,5563.73,15.2115,5563.73,9.47995,3525.01,3.5,1.82844
2012,12,3,12,12.37,5563.73,15.443,5563.73,10.8235,5379.02,2.4,1.799805
2012,12,3,13,13.13,5563.73,14.122,5563.73,14.1495,5563.73,2.3,1.926546
2012,12,3,14,15.83,5563.73,12.2438,5563.73,16.548,5563.73,3.6,1.411673
2012,12,3,15,13.51,5563.73,13.18865,5563.73,19.246,5563.73,3.7,1.411673
2012,12,3,16,19.1,5563.73,14.709,5563.73,28.834,0,2.9,1.489776
2012,12,3,17,19.63,5563.73,15.2265,5563.73,25.8805,0,3.5,1.443169
2012,12,3,18,20.58,5563.73,16.303,5563.73,24.6555,5563.73,3.5,1.322923
2012,12,3,19,21.36,5563.73,16.622,5563.73,20.831,5563.73,3.2,1.378802
2012,12,3,20,20.85,5563.73,16.665,5563.73,17.114,5563.73,4.1,1.12713
2012,12,3,21,19.75,5563.73,17.006,5563.73,12.4852,5563.73,3.1,1.904736
2012,12,3,22,22.77,5563.73,14.8975,5563.73,18.6945,5563.73,3.5,1.200526
2012,12,3,23,23.33,5563.73,15.2955,5563.73,15.056,5563.73,2.8,1.303883
2012,12,4,0,22.74,5563.73,14.271,5563.73,18.7365,5563.73,1.7,1.50659
2012,12,4,1,22.16,5563.73,15.2605,5563.73,15.983,5563.73,1.3,2.006294
2012,12,4,2,20.26,5563.73,14.7995,5563.73,16.0545,5563.73,1.6,1.687955
2012,12,4,3,20.05,5563.73,13.762,5563.73,17.7405,5563.73,1.4,2.065273
2012,12,4,4,20.46,5563.73,12.887,5563.73,17.915,5563.73,1,1.621349
2012,12,4,5,16.05,5563.73,12.619,5563.73,11.12425,5563.73,1.4,1.934293
2012,12,4,6,16.01,5563.73,10.6663,5379.02,15.8645,5563.73,1.8,1.328636
2012,12,4,7,17.02,5563.73,8.78755,2981.39,10.8955,5379.02,1.9,1.328636
2012,12,4,8,15.75,5563.73,8.4348,2508.97,16.333,5563.73,2.1,1.200504
2012,12,4,9,15.23,5563.73,7.4072,1698,13.043,5563.73,1.8,2.267223
2012,12,4,10,14.04,5563.73,7.78815,2079.88,13.876,5563.73,0.9,2.135675
2012,12,4,11,13.89,5563.73,8.48095,2508.97,13.801,5563.73,1,2.148402
2012,12,4,12,11.62,5563.73,8.43,2508.97,13.63,5563.73,1,1.384956
2012,12,4,13,11.18,5563.73,9.3993,3525.01,11.3375,5563.73,1,1.425666
2012,12,4,14,11.48,5563.73,10.32615,4727.44,11.7165,5563.73,1,1.953838
2012,12,4,15,12.34,5563.73,10.8541,5379.02,11.0536,5563.73,1,2.015631
2012,12,4,16,11.46,5563.73,10.55525,5379.02,8.54545,2981.39,1.1,1.854839
2012,12,4,17,13.36,5563.73,9.5828,4114.19,10.74315,5379.02,2.3,1.602623
2012,12,4,18,11.56,5563.73,7.63275,2079.88,7.22615,1698,0.4,1.767565
